年	月	日	時	分	GoogleLat	GoogleLng	死	受傷	2-30
113	1	1	0	22	25.0430901	121.5664082	0	1	0
113	1	1	0	22	25.0430901	121.5664082	0	1	0
113	1	1	0	36	25.0339234	121.529308	0	1	0
113	1	1	0	36	25.0339234	121.529308	0	1	0
113	1	1	0	45	25.05019877	121.5683191	0	1	0
113	1	1	0	45	25.05019877	121.5683191	0	1	0
113	1	1	2	10	25.0453435	121.5578666	0	1	0
113	1	1	2	10	25.0453435	121.5578666	0	1	0
113	1	1	2	27	25.0218279	121.5433387	0	1	0
113	1	1	2	27	25.0218279	121.5433387	0	1	0
113	1	1	2	50	25.06766237	121.5682514	0	3	0
113	1	1	2	50	25.06766237	121.5682514	0	3	0
113	1	1	2	50	25.06766237	121.5682514	0	3	0
113	1	1	3	45	25.04863582	121.5211745	0	1	0
113	1	1	3	45	25.04863582	121.5211745	0	1	0
113	1	1	5	3	25.011445	121.5368368	0	2	0
113	1	1	5	3	25.011445	121.5368368	0	2	0
113	1	1	5	3	25.011445	121.5368368	0	2	0
113	1	1	7	12	25.0576205	121.511493	0	1	0
113	1	1	7	12	25.0576205	121.511493	0	1	0
113	1	1	7	12	25.0576205	121.511493	0	1	0
113	1	1	7	12	25.0576205	121.511493	0	1	0
113	1	1	7	12	25.0576205	121.511493	0	1	0
113	1	1	7	12	25.0576205	121.511493	0	1	0
113	1	1	8	20	25.10092604	121.5376261	0	5	0
113	1	1	8	20	25.10092604	121.5376261	0	5	0
113	1	1	8	20	25.10092604	121.5376261	0	5	0
113	1	1	8	20	25.10092604	121.5376261	0	5	0
113	1	1	8	20	25.10092604	121.5376261	0	5	0
113	1	1	9	58	25.0627875	121.5295245	0	1	0
113	1	1	9	58	25.0627875	121.5295245	0	1	0
113	1	1	9	58	25.0627875	121.5295245	0	1	0
113	1	1	10	4	25.05208094	121.5235373	0	1	0
113	1	1	10	4	25.05208094	121.5235373	0	1	0
113	1	1	10	4	25.05208094	121.5235373	0	1	0
113	1	1	10	31	25.14401946	121.5267645	0	1	0
113	1	1	10	31	25.14401946	121.5267645	0	1	0
113	1	1	10	31	25.14401946	121.5267645	0	1	0
113	1	1	10	42	24.9981882	121.574673	0	1	0
113	1	1	10	42	24.9981882	121.574673	0	1	0
113	1	1	10	42	24.9981882	121.574673	0	1	0
113	1	1	11	22	25.0631636	121.5648174	0	2	0
113	1	1	11	22	25.0631636	121.5648174	0	2	0
113	1	1	11	43	25.0217013	121.4985552	0	1	0
113	1	1	11	43	25.0217013	121.4985552	0	1	0
113	1	1	11	43	25.04674654	121.5039224	0	1	0
113	1	1	11	43	25.04674654	121.5039224	0	1	0
113	1	1	11	43	25.04674654	121.5039224	0	1	0
113	1	1	11	50	25.03307859	121.5041751	0	4	0
113	1	1	11	50	25.03307859	121.5041751	0	4	0
113	1	1	11	50	25.03307859	121.5041751	0	4	0
113	1	1	11	50	25.03307859	121.5041751	0	4	0
113	1	1	11	50	25.03307859	121.5041751	0	4	0
113	1	1	11	54	25.0450162	121.5461471	0	2	0
113	1	1	11	54	25.0450162	121.5461471	0	2	0
113	1	1	11	54	25.0450162	121.5461471	0	2	0
113	1	1	12	25	25.116778	121.5203406	0	1	0
113	1	1	12	25	25.116778	121.5203406	0	1	0
113	1	1	13	22	25.0610358	121.6187442	0	2	0
113	1	1	13	22	25.0610358	121.6187442	0	2	0
113	1	1	13	22	25.0610358	121.6187442	0	2	0
113	1	1	13	45	24.9951919	121.5452336	0	1	0
113	1	1	13	45	24.9951919	121.5452336	0	1	0
113	1	1	13	57	25.0318792	121.5683994	0	2	0
113	1	1	13	57	25.0318792	121.5683994	0	2	0
113	1	1	13	57	25.0318792	121.5683994	0	2	0
113	1	1	13	58	25.0110187	121.5362299	0	2	0
113	1	1	13	58	25.0110187	121.5362299	0	2	0
113	1	1	14	21	25.0609005	121.5256073	0	1	0
113	1	1	14	21	25.0609005	121.5256073	0	1	0
113	1	1	14	30	25.0586897	121.5329898	0	1	0
113	1	1	14	30	25.0586897	121.5329898	0	1	0
113	1	1	14	42	25.1330238	121.5940738	0	2	0
113	1	1	14	42	25.1330238	121.5940738	0	2	0
113	1	1	14	42	25.1330238	121.5940738	0	2	0
113	1	1	15	31	25.0536646	121.5075289	0	1	0
113	1	1	15	31	25.0536646	121.5075289	0	1	0
113	1	1	15	35	25.06315997	121.5648284	0	1	0
113	1	1	15	35	25.06315997	121.5648284	0	1	0
113	1	1	15	35	25.1385241	121.4899098	0	1	0
113	1	1	15	35	25.1385241	121.4899098	0	1	0
113	1	1	15	41	25.02852214	121.5020306	0	1	0
113	1	1	15	41	25.02852214	121.5020306	0	1	0
113	1	1	16	38	25.0465098	121.5769866	0	3	0
113	1	1	16	38	25.0465098	121.5769866	0	3	0
113	1	1	16	38	25.0465098	121.5769866	0	3	0
113	1	1	16	45	25.0435929	121.529871	0	2	0
113	1	1	16	45	25.0435929	121.529871	0	2	0
113	1	1	16	45	25.0435929	121.529871	0	2	0
113	1	1	17	7	25.0476296	121.5438492	0	2	0
113	1	1	17	7	25.0476296	121.5438492	0	2	0
113	1	1	17	7	25.0476296	121.5438492	0	2	0
113	1	1	17	28	25.0574563	121.5183534	0	1	0
113	1	1	17	28	25.0574563	121.5183534	0	1	0
113	1	1	17	41	24.98878373	121.5707375	0	1	0
113	1	1	17	41	24.98878373	121.5707375	0	1	0
113	1	1	17	45	25.0979187	121.5273974	0	1	0
113	1	1	17	45	25.0979187	121.5273974	0	1	0
113	1	1	18	35	25.1213091	121.4993531	0	2	0
113	1	1	18	35	25.1213091	121.4993531	0	2	0
113	1	1	18	35	25.1213091	121.4993531	0	2	0
